a0001,"[ 9.58358473  7.73836917  7.45741747  7.50704425  6.11866628  6.80104754
  6.24610296  5.60829948  4.39748785  6.76155674  6.6616227   5.93021143
  6.03474841  6.31826773  6.13603364  6.2486133   6.90235781  6.65658346
  7.32607342  8.75392586  8.80623158  9.23311351  7.62758383  9.0302828
  8.00356898  7.26710279  9.41302024  8.90860297  7.66519804  7.41590656
  5.22117431  4.28721325  4.31571354  4.63331435  5.46261058  5.46083777
  5.94489248  6.08344814  5.89068951  7.48327854  7.57849227  6.67211858
  6.1329751   6.08642225  7.59203039  8.27956341  8.17661027  8.69046096
  8.07637171  9.05299406  8.05111517  7.17008201]",1
a0002,"[ 11.067717    11.69110542  11.06892416  10.60181621  10.27230995
   9.34966202   8.79881012   8.79250919   8.24708758   7.30955152
   7.17930759   7.45087859   7.46408504   8.88106739   8.6089451
   6.28731253   7.79929326   8.41158886   9.01522099   8.97703002
   8.13612962   9.40478751   9.38135155  10.02614623   9.78274673
   9.00412246  11.90814281  12.48265688  11.36893222  12.44566335
  12.20873317  10.73160186  10.8234162   10.39094503   8.8242858
   8.62587739   9.02403803   7.49409476   7.69416463   8.92712779
   8.32862332   7.84124161   8.36173406   7.88095819   8.89199416
   9.16143785   8.49752946   9.13147044   9.52417217   9.95862732
   9.90057275   9.00301842]",1
a0003,"[ 8.93708549  9.85858876  8.78780756  6.95425109  6.93337673  6.55811724
  5.83358705  5.18588503  5.11133414  4.81735785  5.0484223   5.20272028
  4.8443685   4.88108317  4.53130345  5.62546858  6.24124562  5.40101395
  5.62412405  4.96353379  6.2677178   5.62224443  6.57170523  7.84319889
  6.95953431  8.67234139  8.23909112  9.6908514   8.66519673  8.03855482
  7.0697822   6.91585711  5.12453946  5.52522584  5.60631257  6.15466643
  4.73096794  4.83262107  5.16654197  4.66007006  5.0829375   5.80997388
  5.46566406  3.97788834  4.78295971  4.71372563  5.8328911   5.28304853
  5.61592097  8.26651938  7.77543732  8.45355472]",1
a0004,"[  9.52404001  10.06488114  10.24000211  11.55610856  10.7353339
  10.59984609   9.45848302   9.12552599   8.41413626   8.01123053
   5.82048477   5.64152286   5.00607364   6.16414297   6.44122106
   6.3520206    6.31418759   6.46672087   5.58813861   4.85041211
   6.21621293   5.11581032   4.48867339   5.86861824   5.84521592
   4.1229368    7.25161859   7.22204482   9.99983652  10.58165994
   9.12228296   8.06302286   9.55390298   8.87657118   6.420234
   7.98253415   6.83917384   6.1693126    6.34927756   4.79061441
   5.71333748   6.08072576   5.36765627   6.08254047   6.33762639
   6.30337688   6.49130626   5.6366785    5.78392183   5.00662972
   5.57275471   4.80473869]",1
a0005,"[ 10.17134005  10.15140906   9.6036736    8.55593688   8.57461055
   7.34850367   6.50453152   5.18687684   5.26729563   5.44269493
   6.38176825   6.49982058   4.7456758    4.23012777   3.98608306
   5.28488179   5.09413012   5.32358149   4.75612622   5.36970965
   5.7468308    5.84555758   4.65331483   5.73083141   5.76479949
   4.67945881   9.88783676   9.35258795   9.74159493   9.35698494
   9.9441479    7.91558432   6.10375421   6.19857541   6.81265193
   5.81016516   6.60002161   6.77203787   6.63011508   6.03351599
   5.90584962   4.92959841   5.49802751   4.99580319   5.49589581
   6.01748363   5.97423602   6.41594336   5.6272089    5.32438031
   5.71780173   6.33137022]",1
a0006,"[ 12.24218945  12.10090321  10.64060462   9.65660405   9.72498567
   8.84601141   7.92624983   8.39168267   7.15903324   7.42069153
   7.09436874   7.57186431   6.9969657    6.59565836   6.96466345
   7.42900814   6.54478031   6.58800109   6.99251631   6.13879898
   6.87008113   7.3860396    7.94641856   9.64023943  10.01964922
  10.02118977  13.44801388  13.08687706  11.29977879  11.06747936
   9.0120309    9.02211936   9.23284401   7.87951638   7.58736606
   8.02489725   7.43457168   7.23308709   6.65220957   6.54836964
   6.42739529   6.49914165   5.51017385   5.86221278   6.82656139
   7.58545936   7.65711641   8.27725812   7.2875452   10.0895054
  10.07264472  10.58339396]",1
a0007,"[ 11.15170496  11.67708891  10.2430621    9.11850135  10.07511761
  10.08665641   8.869087     8.77883516   8.67862071   6.6319045
   6.58061159   6.28989919   4.78686275   5.34098589   5.68288552
   4.67100814   5.36563902   5.85664773   6.62962846   6.01195189
   5.61003404   6.88993004   6.74011265   6.72394363   8.81992583
   9.54388571  10.60997273  11.97644694  10.87139229   9.02769713
  10.62313549  10.56236915   9.14992341   8.72223748   7.74983289
   7.27434937   6.52747239   6.77825127   7.11338996   6.48321268
   6.49255807   7.13101415   6.59846975   6.27825338   6.43818258
   6.47972474   6.95493174   6.97796628   6.4392752    7.30568094
   8.85971559   9.46630927]",-1
a0008,"[ 10.52306917   9.7902741    7.15271663   6.49126996   6.1760931
   5.04896838   5.3495578    5.78422679   6.44408024   6.40597971
   5.88557691   5.82104806   6.35432439   6.12723548   5.38275824
   5.75820619   5.12828299   6.86544055   6.32660616   7.46500232
   9.19114192   9.37045686  10.22967343  10.0398886    9.77027918
   9.95080518  10.30997886   9.18554758   8.32744528   7.70772896
   6.83434289   5.75601506   5.27071309   5.93009759   6.88599968
   5.34833058   4.2347999    5.92329332   5.84307402   5.87636005
   4.56206139   4.70929775   5.38016251   6.27886658   6.66202529
   8.06782948   8.80621372   9.1404621   10.32340314  10.16343274
   9.37296817   9.03912722]",1
a0009,"[ 11.55147911  13.53431063  13.59549049  12.7668124   13.39063786
  12.37094226  12.19932981  12.53825574  11.89544523  11.56377786
  10.89970733  11.21674971   9.78524007  10.32831608   9.33489549
   9.83276992   9.17417738   9.86526324   9.93618409  10.37874692
  10.8569095   10.64879889  10.81043534  10.3088493   11.36419025
  11.43807794  11.46252565  12.57351697  13.58109658  14.14589624
  13.84847749  13.20768598  13.04060902  12.69373802  13.02710772
  12.31505985  12.18815571  11.53871249  11.63916952  10.62756003
  10.46813168  10.1130862    9.42888135   9.48346854   9.85315017
   9.72861067   9.96346105   9.29059902  10.81094335  11.45741491
  12.18709237  11.13959438]",-1
a0010,"[ 4.64129589  6.06560266  5.35721871  6.4608365   6.10758882  4.18691905
  4.83831252  5.35209836  5.42302482  4.47143837  3.58155957  3.02013126
  5.37995735  5.28340955  5.42740719  4.81651878  6.27105761  5.37112957
  5.42923853  7.01254833  6.84986599  6.01687845  6.27929762  6.22830574
  6.51578074  6.51790803  6.21730853  6.39426062  6.62908956  6.74547035
  6.42323712  5.45379459  5.88016157  5.0105505   5.60824255  4.54686686
  3.47399888  4.52495475  6.13927644  4.73769577  4.73408184  5.14081552
  5.83785684  4.97388246  5.84241934  6.54989008  7.13891845  6.27271487
  5.91234804  6.28403315  6.70740753  6.25783136]",1
a0011,"[ 8.02555043  7.23061006  7.43151092  7.30046565  7.17597054  7.05863063
  6.21434732  6.18443858  5.31696164  4.99386499  6.36731651  5.3391307
  5.17559139  5.17560567  5.40269177  5.62430868  3.6198429   3.04273004
  3.75048213  3.83221091  4.76019531  5.29860406  5.78232122  5.35031044
  6.43657255  5.65794618  8.68557576  8.5625057   8.38359276  7.42480763
  5.86223083  6.10709044  5.05448767  3.49762769  4.60448425  5.39764316
  5.50978538  4.42591358  4.09559211  4.32388896  4.72466674  4.48773505
  4.25960891  2.43698428  2.917062    4.01957449  3.89213056  4.63572371
  4.65649945  5.024178    6.61871153  6.20148691]",-1
